label,nmse_db,cdf
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-27.7931824465904,0.00119904076738609
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-27.5959604826878,0.00420799403153793
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-27.3987385187852,0.00588877289978715
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-27.2015165548826,0.00861168891563097
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-27.0042945909799,0.0122322218957604
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-26.8070726270773,0.0140947395476396
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-26.6098506631747,0.0163736140803319
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-26.4126286992721,0.0206342816457851
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-26.2154067353694,0.0219308276260112
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-26.0181847714668,0.0223635573681941
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-25.8209628075642,0.0230859574838928
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-25.6237408436616,0.0255359898056359
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-25.426518879759,0.028120531895625
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-25.2292969158563,0.0296752393871631
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-25.0320749519537,0.0309156201863246
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-24.8348529880511,0.0345447331062429
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-24.6376310241485,0.037010692367923
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-24.4404090602459,0.0395213513499682
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-24.2431870963432,0.0400654082007827
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-24.0459651324406,0.0405734364254617
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-23.848743168538,0.0441923556293106
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-23.6515212046354,0.0479622073788867
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-23.4542992407327,0.0495140628702005
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-23.2570772768301,0.0524216813443925
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-23.0598553129275,0.0612264348874479
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-22.8626333490249,0.068173878222771
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-22.6654113851223,0.075828901664239
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-22.4681894212196,0.0796010042020535
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-22.270967457317,0.0824690734522417
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-22.0737454934144,0.0857095707237011
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-21.8765235295118,0.0874336248193538
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-21.6793015656092,0.0903631649892673
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-21.4820796017065,0.0941799696040613
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-21.2848576378039,0.0968735518758265
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-21.0876356739013,0.0993264112027042
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-20.8904137099987,0.10372892385945
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-20.693191746096,0.106049626321065
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-20.4959697821934,0.10735894124075
